Website,Company_name
,INDIA HIGH COMMISSION
,ICELAND HONORARY CONSULATE
,HUNGARY EMBASSY
,HOLY SEE EMBASSY
,GREECE (HELLENIC REPUBLIC) EMBASSY
,GHANA HONORARY CONSULATE
http://www.german-embassy.org.pk,GERMAN EMBASSY
,FRENCH EMBASSY
,FINLAND EMBASSY
,ETHIOPIA FEDERAL DEMOCRATIC REPUBLIC HONORARY CONSULATE
,EGYPT EMBASSY
,DENMARK ROYAL EMBASSY
,CZECH REPUBLIC EMBASSY
,EMBA CORPORATION (PVT) LTD.
,MARS OFFICE PRODUCTS
,ELECTRONIC BUSINESS MACHINES -EBM
http://www.ttcpk.com,TAYYAB TRADING CORPORATION
http://www.ahsanullahelectronics.com,AHSANULLAH ELECTRONICS (PVT) LIMITED
http://www.greenpowerglobally.com,DANISH ELECTRONICS
http://www.makkays.com,MAKKAYS
http://www.mye.com.pk,MOHSIN YUNUS ELECTRONICS
http://www.dynamicpowers.com,SPACE POWER ELECTRONICS
,ZUBAIR ELECTRONICS
http://www.innovative-pk.com,INNOVATIVE (PVT) LTD.
,TIME DIGITAL
http://www.systek-pk.com,SYSTEK MARKETING
,PERSONAL COMPUTER SYSTEMS (PVT) LTD.
http://www.westerngroup.pk,WESTERN COMPUTERS (PVT) LTD. -WESTERN GROUP
,UNITED BUSINESS SYSTEM
http://www.systek.com.pk,SYSTEK (PVT) LTD.
,COMPUTER MARKETING CO. (PVT) LTD.
http://www.ze.com.pk,ZUBAIR ELECTRONICS
http://www.zaadenterprises.com,ZAAD ENTERPRISES
,TEKNO-TRADE
http://www.shirazitrading.com.pk,SHIRAZI TRADING COMPANY (PVT) LTD.
,INTERNATIONAL BUSINESS LINKS
,FRIENDS COMPUTERS
http://www.cmc.net.pk,COMPUTER MARKETING CO. (PVT) LTD.
http://www.cmc.net.pk,COMPUTER MARKETING CO. (PVT) LTD.
http://www.id.com.pk,INTEGRATED DEVICES (PVT) LTD
http://www.softechms.com,SOFTECH MICROSYSTEMS
,ZEESHAN ELECTRONICS
http://www.lidoproducts.com,MAS ENTERPRISES
http://www.powertech.com,POWERTECH
http://www.javedan.com.pk,JAVEDAN RESOURCES CORPORATION
http://www.javedan.com.pk,JAVEDAN RESOURCES CORPORATION
,S.S. ELECTRIC COMPANY
,J.J. TRADERS
,Electro Power Solar System Sialkot
https://sunsity.pk,Sunsity Solar Energy Services
http://www.voltica-enterprises.com,Voltica Enterprises
,Shah Traders
,Shah Traders
http://www.softechms.com,SOFTECH MICROSYSTEMS
,SHAIKH AUTOS
http://www.valvoline.pk,RUBATECH MANUFACTURING COMPANY (PVT) LTD.
,RANA BROTHERS
,NEW NAEEM TRADERS
,MUSTAFA MOTORS
,MOHAMMADI ENTERPRISE
,HABIB AUTOS
,COMBINED AUTO CENTRE
,COMMERCIAL COMPANY INTERNATIONAL
,BILAL AUTOS
http://www.azizsons.net.pk,AZIZ SONS
,ANIS AUTOMOBILE
,AMIN MOTORS CO.
,Discount Tyres
https://www.hondasite.com.pk,Honda SITE Sales Centre is renowned for its personalized services to its customers.
http://generalautostore.com,General Auto Store | Pakistans Largest Car Accessories Hub
https://www.pakwheels.com/,PakWheels
http://www.maxdaq.com,Maxdaq Group
https://www.buhatala.com/,BuhatAla 
https://sehgalmotors.pk,SehgalMotors.PK
,MANSOOR AUTOS FSD
,Maxdaq Group - Motorcycle Engine Oil Manufacturero
http://www.alafuae.com/eng/default.asp,BUSH AND MOUNT CO
https://www.pakmoto.com,Pakmoto
http://www.guchenthermo.com,Truck Refrigeration Units
http://autojin.pk,Autojin
http://autojin.pk/,Autojin.pk
http://www.shabranitire.com,tire and wheel wholesale
https://www.zoomenterprises.webs.com/,ZOOM ENTERPRISES
,Al Karam Autos Decoration
http://www.wishhub.pk,Wish Hub
http://hitshop.pk/Car-Top-Cover.htm,"Car Top Cover, Best Car Top Cover"
https://www.fnrmarketing.com/,FNR Marketing 
http://www.chinacreatek.com,SINOTRUK HOWO SHACMAN DONGFENG and FAW truck spare parts
http://www.wishhub.pk,Wish Hub online shopping
,Royal Tech Services
https://www.wishhub.pk,Wish Hub Pakistan
https://www.crocyard.com/,Crocyard - Auto accessories & body parts
https://www.unitedequipment.com.pk,United Equipment - Workshop Equipment Karachi
https://www.unitedequipment.com.pk,United Equipment - Workshop Equipment Karachi
http://www.nespak.com.pk,NATIONAL ENGINEERING SERVICES PAKISTAN (PVT) LTD. -NESPAK
,J.K. CONSTRUCTION ADVISORY SERVICE
,INTEGRATED ENGINEERING SERVICES
,ESS.I. AAR
http://www.ecil.com,ENGINEERING CONSULTANTS INTERNATIONAL (PVT) LTD.
http://www.eaworld.com,ENGINEERING ASSOCIATES (PVT) LTD.
,ELECTROCONSULT
http://www.bilgrmi.com,BILGRAMI & FARUQUE
,ASSOCIATED ENGINEERS & ARCHITECTS
http://www.acepakistan.com,ASSOCIATED CONSULTING ENGINEERS (PVT) LTD. -ACE
,ARIF & ASSOCIATES CONSULTANTS
,ANJUM ADIL & ASSOCIATES
,ABDUL RAZZAK ASSOCIATES (PVT) LTD.
,ABDUL AZIZ & ASSOCIATES
http://www.nespak.com.pk,NATIONAL ENGINEERING SERVICES PAKISTAN (PVT) LTD. -NESPAK
,ENGINEERING ASSOCIATES (PVT) LTD.
,MATERIALS & DESIGN SERVICES (PVT) LTD.
http://www.hafeezassociates.com,HAFEEZ & ASSOCIATES
,USMAN ENTERPRISES
http://www.smentech.com/,SMENTECH
http://www.ahdhouse.com/,Asim Hassan Desgin Home 
http://www.globalstandards.com.pk/,Global Standards Pak
,3S Sourcing
,CCTV Cameras Installation
,Ahmed Solutions Pvt Ltd 
https://www.countrywide.pk,Countrywide Construction | Pre-Engineered Steel Buildings
https://www.mtiarchitects.com,MTI Consulting Architects and Engineers Pvt. Ltd.
http://www.ghaffarsons.com,Abdul  Ghaffar and Sons Overseas Employment
http://finelifts.net,Fine Lift Engineering Works
http://designinghub.net,Designing Hub
https://www.diploma4job.com,jobs in islamabad olx
,Design Tech
,Engineering Services
http://www.elecson.pk,ELECSON ENGINEERING PVT. LTD
,MAQ Engineering Company
,Consult IB
http://www.cubedesignstudio.org,CUBE DESIGN STUDIO
http://be2c2.com.pk,BE2C2
,landscaping and horticulture service
http://www.humayunchemicals.com,HUMAYUN CHEMICALS
,ARAFAT CHEMICALS CARPORATION (PVT) LTD.
,ANJUM CHEMICAL CORPORATION
http://www.akbari.com.pk,AKBARI STORES (PVT) LTD.
http://www.tufailgroup.com,TUFAIL CHEMICAL INDUSTRIES (PVT) LTD.
,TEXTILE CHEMICAL INDUSTRIES
,SAEED SONS
,REHAN IMPEX
,MEMON BROTHERS
,KHAJU SONS
,QUOPIC (PRIVATE) LTD.
http://www.pentachemical.com,PENTA INDUSTRIES (PVT) LTD.
http://www.olympicindustries.com.pk,OLYMPIC INDUSTRIES
http://www.natgroup.com,NATIONAL SILICATE & ALLIED INDUSTRIES
http://www.fcl.com.pk,FUTEHALLY CHEMICALS (PVT) LTD.
http://www.anwer.com.pk,ANWER CHEMICALS CORPORATION
,ANJUM BROTHERS (PVT) LTD.
,BASHARAT BROTHERS
http://www.modchemical.com,AL-MEHRAN CHEMICALS
http://www.alkachemicals.com,ALKA (PVT) LTD.
,ADNAN BROTHERS
,TAHIR COLOURS
,ORGANO CHEMICALS (PVT) LTD.
,INTERNATIONAL TRADE LINKERS
http://www.alkachemicals.com,ALKA (PVT) LTD.
,ALI CHEMICALS
http://www.avmchemical.com,AVM CHEMICAL INDUSTRIES (PVT) LTD.
,RAZAK (PVT) LTD.
,BASF PAKISTAN (PVT) LTD.
,BASF PAKISTAN (PVT) LTD.
http://www.basf.com,BASF PAKISTAN (PVT) LTD.
,BASF PAKISTAN (PVT) LTD.
,HIGHTECH CHEMICALS INTERNATIONAL
http://www.ici.com.pk,ICI PAKISTAN LIMITED
http://www.ilyassonscorp.com,ILYAS SONS CORPORATION
,ALTAF CORPORATION
http://www.glacierfabrics.com,Glacier Fabrics Kurta For Men
https://www.sudeepind.com/reactive-dyes.html,Sudeep Industries
https://www.ibrahimdyeing.com,IBRAHIM DYEING & BLEACHING
http://www.sattar-attorneys.com,SATTAR & SATTAR
http://www.saeedandcompany.com,SAEED & CO.
,MUNAWWAR AND COMPANY
,MUHAMMAD FARID AND COMPANY
,M.M. MERCHANT & COMPANY
,GHAFOOR & SADIQ
,FAZLE GHANI KHAN & CO.
,ALI ASSOCIATES
http://www.advomak.com,MANSOOR AHMAD KHAN & CO.
,MAKHDOOM & CO.
,KHANZADA & CO.
,K.A. MAJEED ASSOCIATES
http://www.javaidumar.com,JAVAID UMAR LAW ASSOCIATES
,IMAM & CO.
,BAIG & COMPANY
,ABDUL KARIM & COMPANY
,RAUF LAW ASSOCIATES
http://www.nekservices.com,NEK Services
http://braceinfinity.com/,BraceInfinity Pvt. Ltd.
http://www.eaccountsolutions.com,E Account Solutions Co
https://www.sqamer.com,S.Qamer  Co.
,MUIR Group
https://www.facebook.com/SISTaxConsultants/,SIS Tax Consultants
http://booked.pk/,"Wedding Venues-Banquet,Shadi,Marquee,Marriage Hall in Lahore"
,dumper rent damper rental
http://premier-management-logix.business.site/,Premier Management  Financial Logix
http://binsadiq.com.pk,binsadiq Consulting
http://www.sistaxcon.com/,SIS Tax Consultants
https://baiglawassociates.com.pk,NISAR AHMAD BAIG  COMPANY
https://www.sfconsultingbd.com,S  F CONSULTING FIRM LIMITED
http://www.veritax.com.pk,Veritax Consulting Pvt. Limited
http://www.innovativepioneers.com.pk,consultant
https://gainint.com/,Gain Consultancy Pvt Ltd
https://WWW.HORIZONOIL.COM.PK,HORIZON OIL COMPANY AND CPA'S
http://www.sapphireconsultants.biz,Sapphire Consultants
,All kind of printing advertisement & tax consultancy
https://www.sbconsulting.com.pk,Synergy Business Consulting
https://www.sbconsulting.com.pk,Synergy Business Consulting Bahria Town Islamabad
https://www.premium.org.pk,Premium Pakistan
http://www.passco.org.pk,PAKISTAN AGRICULTURAL STORAGE & SERVICES CORP. LTD. -PASSCO
http://www.smeda.org.pk,SMALL AND MEDIUM ENTERPRISES DEVELOPMENT AUTHORITY -SMEDA
http://www.pseb.org.pk,PAKISTAN SOFTWARE EXPORT BOARD (G) LTD. -PSEB
http://www.bsf.org.pk,"SME BUSINESS SUPPORT FUND -MINISTRY OF FINANCE,GOVERNMENT OF PAKISTAN"
http://www.pcsir.gov.pk,PAKISTAN COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH -PCSIR
http://www.bme.com.pk,BOLAN MINING ENTERPRISES -BME
,SKILL DEVELOPMENT COUNCIL
http://www.opf.org.pk,OVERSEAS PAKISTANIS FOUNDATION -OPF
http://www.pcsir.gov.pk,PAKISTAN COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH -PCSIR
,PIDC (PVT) LTD.
,PCSIR LABORATORIES COMPLEX
http://www.pcp.gov.pk,PRINTING CORPORATION OF PAKISTAN (PVT) LTD.
,PAKISTAN AGRICULTURAL RESEARCH COUNCIL -PARC
http://www.nadra.gov.pk,NATIONAL DATABASE & REGISTRATION AUTHORITY -NADRA
http://www.pakboi.gov.pk,BOARD OF INVESTMENT-BOI
http://www.pakboi.gov.pk,BOARD OF INVESTMENT -BOI
http://www.tcp.gov.pk,TRADING CORPORATION OF PAKISTAN (PVT) LTD.
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.tdap.gov.pk,TRADE DEVELOPMENT AUTHORITY OF PAKISTAN -TDAP
http://www.sindhcoal.gos.pk,SINDH COAL AUTHORITY -SCA
http://www.fwo.com.pk,FRONTIER WORKS ORGANIZATION -FWO
http://www.caapakistan.com.pk,CIVIL AVIATION AUTHORITY
http://www.awt.com.pk,ARMY WELFARE TRUST
http://www.awt.com.pk,ARMY WELFARE TRUST
http://www.awt.com.pk,ARMY WELFARE TRUST
http://www.nespak.com.pk,NATIONAL ENGINEERING SERVICES PAKISTAN (PVT) LTD. -NESPAK
http://www.nespak.com.pk,NATIONAL ENGINEERING SERVICES PAKISTAN (PVT) LTD. -NESPAK
http://www.thejoblisting.com/,"Pakistan Jobs, Thejoblisting"
,Royal Tech Services
,OVERSEAS TRADING SERVICES (PVT) LTD.
,H. SADAR ALI AKHTAR ALI (PVT) LTD.
http://www.lyra.com.pk,LYRA  (PVT) LTD.
http://www.kampala.com.pk,KAMPALA INDUSTRIES (PVT) LTD.
,SIALKOT PAK INDUSTRIES (PVT) LTD.
,CAPITAL TRADERS (PVT) LTD.
,ALLS WELL ENTERPRISES
,HMB TANNERIES (PVT) LTD.
,SOHAIL TRADERS
,FAR EAST ORIENTAL TRADING GROUP
,USMANI GARMENTS
,GUL YOUSAF & COMPANY
http://ktmleather.com,KTM Leather
http://www.laptab.com.pk/,Laptab.pk Online Shopping in Pakistan
http://www.climax-point.com,Climax Point
https://www.worldwideentp.com,WORLD WIDE ENTERPRISES
https://www.macroexports.com/,Sportswear Manufacturer  Exporters
https://www.tetrad-gloves.com,Tetrad Gloves International
http://www.craftiveapparels.com,Craftive Apparels
https://www.technoleathers.com,www.technoleathers.com Leather Manufacturer
https://www.nexiasports.com,Nexia Sports 
https://www.sowazo.com,sowazo international Mfg Dental Instruments and Health care Products
http://www.cheachisports.com,CHEACHI SPORTS
https://novadofootwear.com/,novadofootwearl
http://www.fancyleatherworks.com,FancyLeatherWorks.com
https://www.stitchmotocare.com,Stitch Moto Care Sports
http://orbisimpex.com,MIARMA LEATHER COMPANY
,Leather Inn Pakistan pvt LTD
https://www.ghuman.pk,Ghuman of Sialkot International
http://www.boldicasports.com,Boldica Sports(MEAN RIDER)
https://www.dbind.us,Deerborn Industries
https://haspro.com.pk,Haspro Industries
https://www.parisalintl.com,Parisal International
http://www.Unisafe.pk,Unistyle Industries
http://www.fogaraindustry.com,Fogara Industry
http://www.theleatherzone.com,The Leather Zone
,Jeans exporter
,Jeans Wholesaler/exporter
https://www.boldicasports.com,Boldica Sports
https://www.boldicasports.com,Boldica Sports
,INTERNATIONAL TRANSPORT ORGANISATION (PVT) LTD.
http://www.orientcargo.com,ORIENT CARGO SERVICES
,INTERNATIONAL TRANSPORT ORGANISATION (PVT) LTD.
,BNS LOGISTICS
http://www.taq.com.pk,TAQ ENTERPRISES CARGO SERVICES (PVT) LTD.
,BNS LOGISTICS
http://www.ufs.com.pk,UNIVERSAL FREIGHT SYSTEMS (PVT) LTD.
http://www.mrgc.com.pk/ami,AMI PAKISTAN (PVT) LTD.
http://www.dliltd.com,DYNAMIC LOGISTICS INTERNATIONAL (PVT) LTD.
http://www.transfreight.com.pk,TRANSFREIGHT CORPORATION (PVT) LTD.
http://www.galaxyforwarders.com,GALAXY FORWARDERS
http://www.bns-logistics.com,BNS AIR SERVICES (PVT) LTD.
http://www.costa.com.pk/,Costa Logistics Packers And Movers Pakistan
http://www.moversandpackers.pk/,Movers And Packers Company In Pakistan
http://www.laptab.com.pk/,Laptab.pk Online Shopping in Pakistan
,Shah Logistics  Cargo Services
http://www.packersandmovers.com.pk,Packers And Movers In Lahore-Karachi-Islamabad-Rawalpindi-Pakistan 
http://www.balancelog.com.pk,Balance Logistics  Relocation Movers And Packers Lahore - Karachi - Islamabad Pakistan
http://www.freightforwarders.com.pk,Freight Forwarders In Karachi-Lahore-Islamabad-Rawalpindi-Gwadar Pakistan
http://www.linkerslogistics.com,Linkers Movers and Packers and Courier services
,Sarhad Karachi Goods Transport Comapny Reg.
http://mzk.com.pk/,MZK Traders and Logistics Pakistan
http://www.pakistanmovers.com,PAKISTAN MOVERS AND PACKERS
http://www.saifran.com,Saifran Logistics
http://www.costa.com.pk/,Costa Logistics Packers And Movers Freight Forwarders in Pakistan 
http://www.blsglobal.com.pk,BINDAWOOD LOGISTICS SERVICES
https://www.hsntco.com,Hassan Shipping  Trading Co.
https://www.dongpalogistics.com,Dongpa Logistics.
https://www.central.pk,Central Shipping Agencies - Pak
https://www.ufs.com.pk,Universal Freight Systems (Pvt) Ltd
https://www.dongpalogistics.com,Dongpa Logistics
,MIANWALI FRIENDS CARGO CARRIER
https://www.gulflogisticsltd.com/,GULF International Shipping and Logistics
http://www.multiways.com.pk,Multiways Freight Services
https://www.behance.net/GraphicsEye,Graphic Eye
http://talalgoods.com/,Talal Goods Transport Company
http://accretinternational.com.pk,Accrete International
http://www.mbl.com.pk,Malik Brothers Logistics Pvt Ltd
https://afilogistics.pk,AFI Logistics Pakistan
http://www.mbl.com.pk,Malik Brothers Logistics Pvt Ltd
https://afilogistics.pk,AFI Logistics Pakistan
http://www.siemens.com.pk,SIEMENS PAKISTAN ENGINEERING CO. LTD.
http://www.siemens.com.pk,SIEMENS PAKISTAN ENGINEERING CO. LTD.
http://www.ssa.com.pk,STANDARD SUPPLY AGENCY (PVT) LTD.
,EASTERN MEDICAL TECHNOLOGY SERVICES
http://www.noor-international.com,NOOR INTERNATIONAL
http://www.hybridtechnics.com,HYBRID TECHNICS (PVT) LTD.
http://www.meft.tk,M.E.F.T. PAKISTAN (PVT) LTD.
https://www.himed.com.pk,X-Ray Machines and radiology safety products.
,Knee Support Pro
https://www.jimedsurgical.com,JIMED SURGICAL
http://www.labtron.com/,Labtron Equipment Ltd.
https://www.cavax.com.pk/,Cavax Enterprises Pakistan
http://www.andrology.pk/sexual-dysfunction-treatment/mardana-kamzori-ka-ilaj/,Mardana Kamzori Ka Ilaj
http://www.physiotherapy.org.pk,Acupuncture in Lahore | Chinese Acupuncture Therapy Clinic
http://www.physiotherapy.org.pk,Physiotherapy in Lahore | Chinese Physiotherapy Clinic 
https://www.sightpakistan.com/,sight pakistan
,AL-AHMAD TRADERS
https://www.bhinder-group.com,Bhinder Surgical Company Pvt Ltd.
http://www.crocusscientific.com,Crocus Scientific trading
,Light Care Aesthetic
http://surgiexpert.com/,Surgiexpert
http://www.pharmatechnos.com,PHARMA TECHNOLOGY
https://www.horlicksurgical.com,Horlicks surgico zone
,orthopedic instruments  implants +923086123768
http://www.dynosurgical.com,Dyno Surgical Instruments
https://www.facebook.com/ondemandstore.pk,OnDemand Store
,Qureshi Scientific Works       Importer  Exporter  
,Healthtech Biomedical Engineering
,MEDIZONE
http://www.womenhealth.pk/,Women health clinic In Lahore
,Chaudhry Scientific Storel
http://www.bhinder-group.com,Bhinder Surgical Company Pvt Ltd
,star services constructors & suppliers
https://www.facebook.com/timesmedicalofficial/,Manufacturer & Exporter of Surgical Instruments
http://www.thevisiongroup.net,VISION MEDICAL
https://www.shsurgic.com/,SH Medical Company
http://www.Unisafe.pk,Unistyle Industries
https://www.4d-technologies.net/,4D Technologies – Laboratory Equipment Supplier in Pakistan
http://indussurgical.com,Indus Surgical
http://www.minktex.com,KHAWAJA MURTAZA MASHOOQULLAH
,GOFAT TEXTILE LTD.
,INDUS APPAREL (PVT) LTD.
,NEXUS INTERNATIONAL
,MEHASH TEXTILES
http://www.crafters.com.pk,CRAFTERS INTERNATIONAL
,BUSINESS ADD-WISERS
,NIK CORPORATION
http://www.gracepak.com,APPAREL ARTS (PVT) LTD.
http://www.jhe.com.pk,J.H. ENTERPRISES
http://www.samadtex.com,SAMAD TEXTILE CORPORATION
,WORLDWIDE BUSINESS CORPORATION
,ADNAN IMPEX
,MURAD & COMPANY
http://www.ittemadtextile.com,REHMAN INTERNATIONAL
http://www.rehmansons.com,REHMANSONS
,HOMETEX COMFORTS
,APPAREL MERCHANDISING INDUSTRIES
,ADIL TEXTILE CONSULTANTS
,POINTECH GARMENTS
,PRINZ (PVT) LTD.
,FARUK IMPEX CORPORATION
,ARTEC INTERNATIONAL
,H.E. KATCHI & SONS
http://www.tentsplace.com,BABSON & NOLLER CORPORATION -BNC
,SESSA INTERNATIONAL (PVT) LTD.
,ARCH SONS
http://www.rahimtoola.net,QUINCY (PVT) LTD.
,OWAIS ENTERPRISES
,FRANCO FERRI & CO. PAKISTAN (PVT) LTD.
,LINKAGE INTERNATIONAL
http://www.akunet.org,NOORANI & CO.
,BUSINESS BROTHERS
,ASHTEX AGENCIES
,PAKISTAN TRADING SERVICES
http://BizShip.com ,BizShip International
http://www.maatextile.com,Towel Manufacturer and Exporter
,Al Almas Corporation
https://www.ibrahimdyeing.com,IBRAHIM DYEING & BLEACHING
,ASHRAF ENGINEERING WORKS (PVT) LTD.
http://www.techmen.pk,TECHMEN ENGINEERING & INTERNATIONAL TRADERS
http://www.adamjee.engg.com,ADAMJEE ENGINEERING (PVT) LTD.
http://www.hmc.com.pk,HEAVY MECHANICAL COMPLEX (PVT) LTD.
http://www.karachishipyard.com.pk,KARACHI SHIPYARD & ENGINEERING WORKS LTD.
http://www.alfateh-pk.com,Al-Fateh International
http://en.schmierer.de/,Schmierer SEA
,Elevato
http://www.technicallogic.pk,Technical Logic Engineering Services
http://RespSolar.tk,Renewable Energy Solutions for Pakistan
,USMAN ENTERPRISES
http://www.smentech.com/,SMENTECH
https://www.sek.com.pk,7 Star Engineering Kinetics PVT Ltd.
,Hussain Safe Co.
,CCTV COMPANY
https://www.countrywide.pk,Countrywide Construction | Pre-Engineered Steel Buildings
https://www.mtiarchitects.com,MTI Consulting Architects and Engineers Pvt. Ltd.
https://acro-tech.com,Acro Tech
https://www.jamalco.com.pk,Jamal-ud-Din Sons and Co.
,SJS ENGINEERING SERVICES 
,Allied Rubber  Electroplating
,Sitara Embroidery Engineering
http://www.monarkenterprisespk.com/,Monark Enterprises
http://finelifts.net,Fine Lift Engineering Works
https://www.diploma4job.com,jobs in islamabad olx
,Design Tech
http://kamalsolars.com,Kamal Solars And IT Solutions
,Healthtech Biomedical Engineering
https://www.decon.com.pk,Firm DECON International Private Limited
http://www.mavericktechnolo.com/,Maverick Technology website designing and development company Pakistan
https://www.samaengineering.com/,Sama Engineering
,ZF SUPPLY AGENCY
http://www.cubedesignstudio.org,CUBE DESIGN STUDIO
http://engineeringhut.pk/,Engineering Hut pakistan
https://www.pakcomservices.com,Electromachnical services provider
,Project Engineering & Management Services
https://www.jubileecorporation.com/profile.html,Jubilee Corporation Pvt Ltd  Faisalabad Office
http://www.themarflexgroup.com,MarFlex Group
http://www.thermaxpakistan.com,Flow Meters Suppliers
,WAKO AGENCIES
,UDL DISTRIBUTION (PVT) LTD.
,ALI BILAWAL TRADERS
,UNIBRANDS (PVT) LTD.
,UDL DISTRIBUTION (PVT) LTD.
,TRADE LINKS
,SALIMCO (PVT) LTD.
http://www.mnp.com.pk,MULLER & PHIPPS PAKISTAN (PVT) LTD.
,MULLER & PHIPPS PAKISTAN (PVT) LTD
,SAJID HYDRI
,NAVEED BROTHERS
,UDL DISTRIBUTION (PVT) LTD.
,SPENCER DISTRIBUTION LIMITED
,S.B.E. (PVT) LTD.
,MULLER & PHIPPS PAKISTAN (PVT) LTD.
,JAWA ENTERPRISES
,INTERNATIONAL DISTRIBUTORS PAK (PVT) LTD.
,IDEAL GENERAL TRADING CO. (PVT) LTD.
http://www.alliedmarketing.com.pk,ALLIED MARKETING (PVT) LTD.
,ISLAMABAD DONG FENG MOTORS ENGINEERING (PVT) LTD
,UDL DISTRIBUTION (PVT) LTD.
,PAKISTAN OVERSEAS TRADERS
http://www.pg.com.pk,PROCTER & GAMBLE PAKISTAN (PVT) LTD.
,KITAB GHAR
,DECORE DISTRIBUTORS
,NATIONAL NEWS AGENCY
,MULTICHANNEL DISTRIBUTORS LIMITED
http://www.udpl.com.pk,UNITED DISTRIBUTORS PAKISTAN LTD.
,AL-NABEEL TRADING COMPANY
,Sunmark-Biotech
,kenix pharma Distributor
http://www.amantechnologies.com.pk,Aman Technologies - Electronic Security Systems
http://www.techtrons.com.pk,Techtrons Commerce
http://www.echkayenterprises.com/,ECH KAY Enterprises
,Dynamic Traders 
https://zausupplier.weebly.com/,ZAU Supplier
http://saremcoimpex.com/salt-products/,"Salt Product - table rock salt, salt lamps, raw salt, Exporters in Pakistan"
https://www.engineeric.com.pk,Chemical Dosing Pumps Distributor  in Pakistan
http://gbpharmacity.com/,GB PHARMA DISTRIBUTION
,SUNRISETECH
http://www.trgworld.com,THE RESOURCE GROUP (PVT) LTD. -TRG
http://www.auasolutions.com,AUA SOLUTION
http://www.fourthr.com.pk,THE FOURTH R INC.
http://www.sonycomm.com,SONY COMMUNICATION
http://www.catcos.com,CATCOS (PVT) LTD.
http://www.arwentech.com,ARWEN TECH (PVT) LTD.
http://www.arwentech.com,ARWEN TECH (PVT) LTD.
http://www.thealphasystems.com,ALPHA SYSTEMS (PVT) LTD.
http://www.phonecast.tv,PHONE CAST (PVT) LTD.
http://www.trackingworld.com.pk,TRACKING WORLD (PVT) LTD.
http://www.mglbl.com,MERIDIAN GLOBAL SOLUTIONS (PVT) LTD
http://www.supertec.com,SUPER TECHNOLOGIES
http://www.voxelnet.com,VOXEL COMMUNICATIONS (PVT) LTD.
http://www.ecom-base.com,ORION CALL CENTER
http://www.gitv.pk,GLOBAL IT VISION (PVT) LTD.
http://www.faisysol.com,FAISY SOLUTIONS
http://www.visualsoft-inc.com,VISUAL SOFT (PVT) LTD
http://www.cyber.net.pk,CYBER INTERNET SERVICES (PVT) LTD.
http://www.dblonline.net,DIGITAL BROADBAND (PVT) LTD.
http://www.arwentech.com,ARWEN TECH (PVT) LTD.
http://www.zrg.com,ZRG INTERNATIONAL (PVT) LTD.
http://www.teradata.com,TERADATA PAKISTAN (PVT) LTD.
http://www.arydigital.tv,ARY COMMUNICATIONS (PVT) LTD.
http://www.meezanbank.com,MEEZAN BANK LIMITED
,LONDON TRAVEL
,KARACHI VOCATIONAL TRAINING CENTRE
http://www.tcs.com.pk,TCS CONNECT (PVT) LTD.
,ARABIAN MARINE SERVICES (PVT) LTD.
,KAMRAN (PVT) LTD.
http://www.thobson.com,THOBSON TECHNOLOGIES
http://www.cyber.net.pk,CYBER INTERNET SERVICES (PVT) LTD.
http://www.cyber.net.pk,CYBER INTERNET SERVICES (PVT) LTD.
http://www.netfax.com.pk,NETFAX COMMUNICATIONS (PVT) LTD.
http://www.viva.com.pk,VIVA INTERNATIONAL (PVT) LTD.
,MEK CONSULTANTS
http://www.outsourcens.com,Outsource Network Solutionsc
http://www.pigsforpipeline.com,cups and discs for pipeline pigs
http://www.chatflores.com/,Chatflores
,AL-QAIM KHANI ASSOCIATES
,BALANA RESTAURANT
,BIG BRO
,DIN MUHAMMAD SHAKIR & CO.
http://www.shafi.net,SHAFI SPINNING MILLS LTD.
,KHAN MOHAMMAD ROLLER FLOUR MILLS
,STAPLES STATIONERS
http://www.kcapak.org,THE KARACHI COTTON ASSOCIATION -KCA
http://codematics.co,CodeMatics Inc
,FRIENDS TRADERS
http://hoistandoverheadcrane.com/,Electric Chain Hoists Suppliers and Importer Overhead crane
http://www.paragon consultant.com,PARAGON CORPORATION
,VITAL (PVT) LTD.
http://www.sarrar-intl.com,SARRAR INTERNATIONAL
